part_id,color_id,part_name,part_cat_id
4151a,0,Plate Special 8 x 8 with Grille [No Hole in Center],9.0
4162,0,Tile 1 x 8 with Groove,19.0
4175,0,Plate Special 1 x 2 with Ladder,9.0
4289,15,Boat Mast 2 x 2 x 3 Inclined with Stud on Top and Two Sides,35.0
4485,1,Minifig Cap Long Peak,27.0
4488,7,Plate Special 2 x 2 with Wheel Holder,9.0
4495b,4,Flag 4 x 1 Wave [First Wave Right],38.0
4533,15,Cupboard 2 x 3 x 2 Door,7.0
4595,0,Brick Special 1 x 2 x 2/3 with Studs on Sides,5.0
4599a,15,Tap  1 x  1 with Hole in Spout,27.0
4623,7,Plate Special 1 x 2 with Arm Up [Horizontal Arm 6mm],9.0
4714,15,Minifig Stretcher,27.0
51595p01,2,Baseplate 16 x 16 Driveway with Grey Drive Print,1.0
6014a,15,Wheel 11 x 12 with Hole Round for Wheels Holder Pin,29.0
6015,0,Tyre 21 x 12 with Offset Tread Small Wide,29.0
6019,0,Plate Special 1 x 1 with Clip Horizontal [Thick U Clip],9.0
6020,14,Bar 7 x 3 with Double Clips (Ladder),32.0
6091,7,Brick Curved 1 x 2 x 1 1/3 with Curved Top,37.0
6093,0,Minifig Hair Ponytail,13.0
6140,4,Bar 1 x 6 [Closed Studs],32.0
6160c03,1,"Window 1 x 4 x 6 Frame with 3 Panes, Fixed Glass with Trans-Dark Blue Glass",16.0
6212,1,Brick 4 x 10,11.0
6228a,7,Dolphin (Normal Connection - Without Axle Holder),28.0
71610pb02,7,"Boat Hull Unitary 32 x 10 x 1 2/3, Base with Coast Guard Print",35.0
76041c04,1,Door 1 x 4 x 6 with 3 Panes with Trans-Dark Blue Glass,16.0
892pb11,15,Road Sign Clip-on 2 x 2 Triangle with Coast Guard Logo Print,38.0
92410,1,Cupboard 2 x 3 x 2 with Hollow Studs,7.0
970x026,14,Legs and Black Hips,13.0
973pb0237c01,1,"Torso Rescue Coast Guard Logo, Nametag, White Collar, Zipper Print / White Arms / Yellow Hands",13.0
973pb0264c01,1,"Torso Rescue Coast Guard Logo, Nametag, Red Collar, Zipper Print / Red Arms / Yellow Hands",13.0
973pb0265c01,1,"Torso Rescue Coast Guard Logo, Nametag, Blue Collar, Red Tie Print / Blue Arms / Yellow Hands",13.0
30147,7,Front Grill 1 x 2 x 2 Round Top [Lights & Centre Top Stud],36.0
30167,6,"Minifig Hat, Wide Brim Flat",27.0
3044c,0,Slope 45° 2 x 1 Double with Inside Stud Holder,3.0
3626bpa3,14,"Minifig Head Moustache Black Bangs, Striped Sideburns Print [Blocked Open Stud]",13.0
3641,0,Tyre Offset Tread Small,29.0
4600,0,Plate Special 2 x 2 with Wheel Holders,9.0
4624,7,Wheel 8 x 6,29.0
